section,entity,year,description_html,source,tags
Administrative Law,Consumer Financial Protection Bureau v. Community Financial Services Association of America,2024,"Six scholars of constitutional law and early American history filed a <a href=""https://www.brennancenter.org/sites/default/files/2024-06/cfpb-v-cfsa-professors.pdf"" target=""blank"">brief</a><a href=""https://www.brennancenter.org/sites/default/files/2024-06/cfpb-v-cfsa-professors.pdf"" target=""blank""> </a>in Consumer Financial Protection Bureau v. Community Financial Services Association of America, a case that upheld the constitutionality of the funding scheme that Congress established for the Consumer Financial Protection Bureau. The brief, which supports the funding scheme, explains that the Constitution's Appropriations Clause gives Congress alone the power to decide how federal agencies are funded. Drawing on the history of legislative appropriations beginning in England several centuries before the American Revolution and continuing through the 19th century, the amici conclude that Congress was exercising its constitutionally conferred authority when it designed the bureau's funding mechanism.","<a href=""https://www.brennancenter.org/sites/default/files/2024-06/cfpb-v-cfsa-professors.pdf"" target=""blank"">Brief of Professors of History and Constitutional Law as Amici Curiae in Support of Petitioners</a>","Administrative Law, Appropriations Clause, Congressional Power, Federal Agencies, Independent Agencies"
Administrative Law,Loper Bright Enterprises v. Raimondo (2024); Relentless v. Department of Commerce,2024,"Three legal historians filed a <a href=""https://www.brennancenter.org/sites/default/files/2024-06/relentless-v-department-of-commerce-historians.pdf"" target=""blank"">brief</a> in Relentless v. Department of Commerce, a case in which the Supreme Court was asked to end Chevron deference - a doctrine that called federal courts to defer to federal agencies' interpretations of ambiguous statutes. The brief, which supports Chevron's constitutionality, describes a long history of federal courts deferring to federal agencies' decision-making that began in the founding era and continued through the 20th century. It also shows that judicial deference to federal agencies' legal interpretations is consistent with the founding generation's understanding of the separation of powers.","<a href=""https://www.brennancenter.org/sites/default/files/2024-06/relentless-v-department-of-commerce-historians.pdf"" target=""blank"">Brief of Amici Curiae Historians Gautham Rao, Richard R. John, and Jane Manners in Support of Respondents</a>","Administrative Law, Federal Agencies, Separation of Powers"
Administrative Law,Securities and Exchange Commission v. Jarkesy,2024,"A scholar of American history and law filed a <a href=""https://www.brennancenter.org/sites/default/files/2024-06/securities-and-exchange-commission-v-jarkesy-jed-h-shugerman.pdf"" target=""blank"">brief</a> in Securities and Exchange Commission v. Jarkesy, which ruled that the Seventh Amendment entitles defendants to a jury trial when the Securities and Exchange Commission (SEC) seeks civil penalties. In supporting the constitutionality of the statutory provisions shielding the SEC's administrative law judges from removal by the president, the brief explains that the original understanding of the president's removal power was not unfettered. Rather, the history of pre-founding England and the early United States reveals that insulating executive officials (like the SEC's judges) from removal was consistent with the understanding of executive power enshrined in the Constitution.","<a href=""https://www.brennancenter.org/sites/default/files/2024-06/securities-and-exchange-commission-v-jarkesy-jed-h-shugerman.pdf"" target=""blank"">Brief of Amicus Curiae Professor Jed H. Shugerman in Support of Petitioner</a>","Administrative Law, Federal Agencies, Seventh Amendment"
Affirmative Action,Parents Involved in Community Schools v. Seattle School District No. 1,2007,"The Supreme Court received multiple filings from historians in Parents Involved in Community Schools v. Seattle School District No. 1, which ruled that a public school district's approach to considering race in its student assignment processes violated the 14th Amendment's Equal Protection Clause.<br><br>Sixty historians of Reconstruction and the civil rights era filed a <a href=""https://www.brennancenter.org/media/14117/download/parents-involved-in-community-schools-v-seattle-brief-of-historians.pdf?inline=1"" target=""blank"">brief</a> in support of the district's assignment policies. The brief argues that those policies align with the 14th Amendment's original purpose and intent, as well as the amendment's early implementation. The amici explain that the Reconstruction Amendments' primary goal was to &quot;incorporate[e] Blacks into the civic, economic, and political mainstream of American society.&quot; They also describe race-conscious programs that were established at the national and local levels to accomplish this goal, including a series of programs Congress approved and funded to integrate schools.<br><br><a href=""https://www.brennancenter.org/media/14117/download/parents-involved-in-community-schools-v-seattle-brief-of-historians.pdf?inline=1"" target=""blank"">Brief of Historians as Amici Curiae in Support of Respondents</a><br><br>Eight historians and legal scholars of the civil rights era also filed a <a href=""https://www.brennancenter.org/media/14118/download/parents-involved-in-community-schools-v-seattle-civil-rights-era-historians.pdf?inline=1"" target=""blank"">brief</a> in support of the district's assignment policies. The brief explores these policies as part of the nation's long-running attempts to overcome racial segregation in schools, reflecting the historical role of public schools as &quot;engines of democracy and opportunity.&quot; The amici also emphasize that these kinds of policies represent a democratic consensus achieved over time, and that such policies are &quot;fully consistent with the Court's education and school desegregation jurisprudence.&quot; The brief explains that there is a long history and tradition of recognizing the autonomy of local schools and deferring to elected officials on matters of educational policy.","<a href=""https://www.brennancenter.org/media/14118/download/parents-involved-in-community-schools-v-seattle-civil-rights-era-historians.pdf?inline=1"" target=""blank"">Brief of Historians of the Civil Rights Era William H. Chafe, Davison Douglas, Charles Payne, Tomiko Brown-Nagin, Kenneth Mack, Risa Goluboff, Kevin Kruse and Matt Lassiter as Amici Curiae Supporting Respondents</a>","Affirmative Action, Equal Protection Clause, 14th Amendment, Racial Discrimination"
Affirmative Action,Schuette v. Coalition to Defend Affirmative Action,2014,"Seventy-six historians and scholars of the Civil War, Reconstruction, and race and the law filed a <a href=""https://www.brennancenter.org/media/14121/download/schuette-v-coalition-to-defend-affirmative-action-paul-finkelman-and-historians.pdf?inline=1"" target=""blank"">brief</a> in Schuette v. Coalition to Defend Affirmative Action, a case that considered the constitutionality of a state constitutional amendment prohibiting race- and sex-based discrimination and preferential treatment in public university admissions. The brief argues that the framers drafted the 14th Amendment to remove special burdens on racial minorities' ability to seek legislative change. The amici explain that after the Civil War, formerly enslaved Black men and women could not seek legislative change to address continued systemic racial exclusion and violence. The brief describes both the 14th Amendment and the Civil Rights Act of 1866 as products of a concerted effort to remedy this state of affairs.","<a href=""https://www.brennancenter.org/media/14121/download/schuette-v-coalition-to-defend-affirmative-action-paul-finkelman-and-historians.pdf?inline=1"" target=""blank"">Brief of Paul Finkelman and 75 Other Historians and Scholars as Amici Curiae in Support of Respondents</a>","Affirmative Action, Equal Protection Clause, 14th Amendment, Racial Discrimination, Sex Discrimination"
Affirmative Action,Students for Fair Admissions v. President and Fellows of Harvard College,2023,"Eighteen historians and law professors who specialize in 19th-century U.S. history filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-01/sffa-harvard-unc-professors-of-history-and-law.pdf"" target=""blank"">brief</a> in Students for Fair Admissions v. President and Fellows of Harvard College, a case that declared race-conscious college admissions policies unconstitutional. The brief, filed in defense of those policies, explains that the Reconstruction Congress designed the 14th Amendment to further racial equality, and that it embraced a variety of race-conscious efforts to achieve that goal. Consequently, the amici emphasize, the 14th Amendment would not prohibit race-conscious admissions policies.","<a href=""https://www.brennancenter.org/sites/default/files/2025-01/sffa-harvard-unc-professors-of-history-and-law.pdf"" target=""blank"">Brief of Professors of History and Law as Amici Curiae in Support of Respondents</a>","Affirmative Action, Equal Protection Clause, 14th Amendment, Racial Discrimination"
Affirmative Action,Flores-Villar v. United States,2011,"Eight scholars of history, political science, and law who specialize in the history of citizenship and gender filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/flores-villar-professors-of-history.pdf"" target=""blank"">brief</a> in Flores-Villar v. United States, a case that considered a constitutional challenge to federal statutory conditions under which children born abroad can claim U.S. citizenship. At the time of the challenge, federal law had different requirements for unwed American mothers and fathers to pass citizenship to a child of theirs born outside the United States. The brief argues that federal laws governing citizenship transmission have reflected sex-based stereotypes and outdated gender norms since the founding era.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/flores-villar-professors-of-history.pdf"" target=""blank"">Brief Amici Curiae of Professors of History, Political Science, and Law in Support of Petitioner</a>","Citizenship, Due Process Clause, Equal Protection Clause, Fifth Amendment, Gender, Immigration, Sex Discrimination"
Affirmative Action,Sessions v. Morales-Santana,2017,"Thirteen scholars of history, law, and political science with expertise in the history of citizenship and gender filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/lynch-v-morales-santana.pdf"" target=""blank"">brief</a> in Sessions v. Morales-Santana, which invalidated a federal statute that treated unwed American fathers and mothers differently for purposes of passing citizenship to children born abroad. The brief canvasses historical citizenship laws to demonstrate the federal government's pattern of relying on &quot;outdated gender-based norms concerning proper parental roles&quot; to regulate citizenship transmission. The amici maintain that laws of this kind contradict the Supreme Court's equal protection and due process principles.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/lynch-v-morales-santana.pdf"" target=""blank"">Brief Amici Curiae of Professors of History, Political Science, and Law in Support of Respondent</a>","Citizenship, Due Process Clause, Equal Protection Clause, Fifth Amendment, Gender, Immigration, Sex Discrimination"
Affirmative Action,Department of Commerce v. New York,2019,"Six historians and social scientists filed a <a href=""https://www.brennancenter.org/sites/default/files/legal-work/Historians%20and%20Social%20Scientists_Amicus%20Brief.pdf"" target=""blank"">brief</a> in Department of Commerce v. New York, a case in which the Supreme Court blocked the Commerce Department's decision to add a citizenship question to the 2020 census. The brief challenges the Commerce Department's claim that the decision was merely a &quot;reinstatement&quot; of a question &quot;whose pedigree dates back nearly 200 years.&quot; The amici explain that the census has never asked for the citizenship status of everyone in the country, and that, more importantly, the census has changed in material ways that limit older iterations' applicability as models for contemporary ones.","<a href=""https://www.brennancenter.org/sites/default/files/legal-work/Historians%20and%20Social%20Scientists_Amicus%20Brief.pdf"" target=""blank"">Brief of Historians and Social Scientists Margo Anderson, Andrew Beveridge, Rachel Buff, Morgan Kousser, Mae Ngai, and Steven Ruggles as Amici Curiae in Support of Respondents</a>","Census, Citizenship, Democracy"
Affirmative Action,Department of Homeland Security v. Regents of the University of California,2020,"The American Historical Association, the Organization of American Historians, and 42 historians filed a <a href=""https://www.brennancenter.org/sites/default/files/2025-03/department-of-homeland-security-v-regents-of-the-university-of-california-aha-oah-etc.pdf"" target=""blank"">brief</a> in Department of Homeland Security v. Regents of the University of California, which ruled that the decision by the Department of Homeland Security (DHS) to rescind the Deferred Action for Childhood Arrivals (DACA) policy violated the Administrative Procedure Act. The brief, filed in support of DACA, illustrates how government officials have used seemingly race-neutral language to hide discriminatory motivations and communicate racial and political messages over the course of U.S. history. The amici apply a methodology called code word analysis to elucidate the anti-Mexican and anti-Latino sentiment underlying DHS's decision.","<a href=""https://www.brennancenter.org/sites/default/files/2025-03/department-of-homeland-security-v-regents-of-the-university-of-california-aha-oah-etc.pdf"" target=""blank"">Amici Curiae Brief of American Historical Association, Organization of American Historians, 42 Historians, and the Fred T. Korematsu Center for Law and Equality in Support of Respondents</a>","Deferred Action for Childhood Arrivals, Fifth Amendment, Immigration, Racial Discrimination"
