section,description,title,brief_title,tags
Reproductive Rights,"Two hundred eighty-one scholars of American history filed a brief in Webster v. Reproductive Health Services, a case that rejected a constitutional challenge to Missouri legislation that placed restrictions on abortions. The brief explains that abortion was legal and widely accessible throughout the 18th and 19th centuries, and that historical restrictions on abortion were grounded in rationales that have become “anachronistic or constitutionally and culturally impermissible.” The brief urges the Court to consider whether the “protection of unborn life has become a surrogate” for those outmoded rationales. In making their argument, the amici emphasize a shift in American historical inquiry since Roe v. Wade (1973) away from “the study of wars, formal legal rules, economics and elections to . . . a fuller and more rounded account of American social history.”",Webster v. Reproductive Health Services (1989),Brief of 281 American Historians as Amici Curiae Supporting Appellees,"Reproductive Rights, Abortion Care, 14th Amendment, Equal Protection Clause, Due Process Clause, Privacy"
Reproductive Rights,"Two hundred fifty scholars of American history filed a brief in Planned Parenthood of Southeastern Pennsylvania v. Casey, a case that introduced an “undue burden” standard for evaluating the constitutionality of abortion restrictions. The brief — which is similar in substance to the historians’ brief filed in Webster v. Reproductive Health Services (1989) — argues that a woman’s right to abortion is consistent with the nation’s history and tradition. The amici explain that abortion has been tolerated and legal for much of the nation’s history; any claim that “abortion restrictions enjoyed broad social support in past eras,” they contend, is historically inaccurate.",Planned Parenthood of Southeastern Pennsylvania v. Casey (1992),Brief of 250 American Historians as Amici Curiae in Support of Planned Parenthood of Southeastern Pennsylvania,"Reproductive Rights, Abortion Care, 14th Amendment, Equal Protection Clause, Due Process Clause, Privacy"
Reproductive Rights,"Sixteen historians whose research focuses on the lives of women filed a brief in Whole Woman’s Health v. Hellerstedt, a case that invalidated a Texas law requiring abortion providers to have admitting privileges at local hospitals, and requiring abortion facilities to meet the standards applied to ambulatory surgical centers. The brief argues that the statute in question was part of a long tradition of laws rooted in the paternalistic doctrine of coverture, which the courts have previously struck down as unconstitutional sex discrimination. The amici urge the Supreme Court to scrutinize the law carefully to determine whether it actually promoted women’s health and at what cost to women’s liberty. They emphasized that laws of this kind typically mask gender stereotypes that subordinate and harm women under the pretense of protecting them.",Whole Woman’s Health v. Hellerstedt (2016),Brief of Historians as Amici Curiae in Support of Petitioners,"Reproductive Rights, Abortion Care, 14th Amendment"
Reproductive Rights,"The Supreme Court received multiple filings from historians in Dobbs v. Jackson Women’s Health Organization, which ruled that the Constitution does not provide a right to abortion and overruled both Roe v. Wade (1973) and Planned Parenthood of Southeastern Pennsylvania v. Casey (1992). The American Historical Association and the Organization of American Historians jointly submitted a brief in support of abortion providers. The brief describes the history of abortion regulations from English common law through the end of the 19th century to demonstrate that American history and tradition include a woman’s ability to make decisions regarding abortion. Among other things, the amici explain that English common law — which did not recognize or regulate abortion until quickening (i.e., when a pregnant woman first feels fetal movement) — influenced U.S. state laws prior to the 14th Amendment’s ratification in 1868. At that time, the brief shows, nearly half of the states allowed pre-quickening abortions or imposed lighter punishments for them. The American Society for Legal History and 23 historians with expertise in the law, history, and politics of reproduction filed a brief in support of abortion providers. According to the amici, claims that Roe “drove the division and polarization around abortion” are historically inaccurate. The brief explores developments straddling the Court’s issuance of Roe to demonstrate that conflicts misattributed by right-wing lawyers to Roe either predated that decision or emerged later in response to other forces, such as the realignment of political parties in the late 20th century.",Dobbs v. Jackson Women’s Health Organization (2022),"Brief for Amici Curiae American Historical Association and Organization of American Historians in Support of Respondents | Brief for Amici Curiae American Society for Legal History and Other Scholars with Expertise in the Law, History and Politics of Reproduction in the United States in Support of Respondents","Reproductive Rights, Abortion Care, 14th Amendment, Due Process Clause"
LGBTQ+ Rights,"Ten historians and scholars of gender and sexuality filed a brief in Lawrence v. Texas, which ruled that a Texas law criminalizing sexual intimacy by same-sex couples violated the 14th Amendment’s Due Process Clause. Arguing in support of invalidating laws like Texas’s, the brief underscores that government regulation of sexual activity between members of the same sex lacks a deep historical pedigree, and that government policies discriminating against people based on their sexual orientation are part of a distinctly 20th-century project that was already being dismantled at the time of the case.",Lawrence v. Texas (2003),"Brief of Professors of History George Chauncey, Nancy F. Cott, John D’Emilio, Estelle B. Freedman, Thomas C. Holt, John Howard, Lynn Hunt, Mark D. Jordan, Elizabeth Lapovsky Kennedy, and Linda P. Kerber as Amici Curiae in Support of Petitioners","LGBTQ+, Sexual Orientation/Gender Identity Discrimination, 14th Amendment, Due Process Clause"
LGBTQ+ Rights,"The Supreme Court received multiple filings from historians in United States v. Windsor, which ruled the 1996 Defense of Marriage Act (DOMA) unconstitutional for denying legally married same-sex couples equal protection under the Fifth Amendment. The Organization of American Historians and the American Studies Association filed a brief in support of DOMA’s challengers. The brief presents the long history of discrimination faced by gay and lesbian people since the founding era and into the 21st century. It concludes with a discussion of Supreme Court case law to underscore the significance that the Court has long accorded to history in assessing equal protection claims. The American Historical Association and 23 historians of American marriage, family, and law also filed a brief in support of DOMA’s challengers. The brief argues that DOMA “breaks with historical understanding of the state and federal roles with respect to marriage,” under which the states — rather than the federal government — have defined marriage status. It also explains that the states have recognized many different purposes for marriage throughout the nation’s history.",United States v. Windsor (2013),Brief of the Organization of American Historians and the American Studies Association as Amici Curiae in Support of Respondent Edith Windsor | Brief on the Merits for Amici Curiae Historians • American Historical Association • Peter W. Bardaglio • Norma Basch • George Chauncey • Stephanie Coontz • Nancy F. Cott • Toby L. Ditz • Ariela Dubler • Laura F. Edwards • Estelle B. Freedman • Sarah Barringer Gordon • Michael Grossberg • Hendrik Hartog • Ellen Herman • Martha Hodes • Linda K. Kerber • Alice Kessler-Harris • Elaine Tyler May • Steven Mintz • Elizabeth H. Pleck • Carole Shammas • Mary L. Shanley • Amy Dru Stanley • Barbara Young Welke in Support of Respondents and of Affirmance of the Judgment Below,"LGBTQ+, Marriage, Sexual Orientation/Gender Identity Discrimination, Fifth Amendment, Due Process Clause"
LGBTQ+ Rights,"The Supreme Court received multiple filings from historians in Hollingsworth v. Perry, which ruled that same-sex couples lacked the legal standing to challenge a California proposition limiting the state’s official definition of marriage to a union between a man and a woman. The Organization of American Historians filed a brief supporting the challenge to the proposition on 14th Amendment grounds. Similar to the historians’ brief filed in United States v. Windsor (2013), this brief recounts the long history of discrimination faced by gay and lesbian people since the founding era. It concludes with a discussion of Supreme Court case law to underscore the significance that the Court has long accorded to history in assessing equal protection claims. Nineteen scholars of history and other disciplines filed a brief supporting the legality of the California proposition. The brief argues that the United States lacks a “deeply rooted history, legal tradition, or practice of gay marriage,” and that marriage has historically been “an opposite-sex institution” because it serves “child-centered purposes.” Amicus Curiae Brief of Scholars of History and Related Disciplines in Support of Petitioners",Hollingsworth v. Perry (2013),Brief of the Organization of American Historians and the American Studies Association as Amici Curiae in Support of Respondents,"LGBTQ+, Marriage, Sexual Orientation/Gender Identity Discrimination, 14th Amendment, Equal Protection"
LGBTQ+ Rights,"The Supreme Court received multiple filings from historians in Obergefell v. Hodges, the case that established same-sex couples’ 14th Amendment right to marry and ruled that states must recognize same-sex marriages performed in other states. The Organization of American Historians filed a brief in support of same-sex marriage as a constitutionally conferred right. Like the historians’ briefs filed in United States v. Windsor (2013) and Hollingsworth v. Perry (2013), this brief presents the long history of discrimination that same-sex couples have faced from the founding era through the present. It also explains that this history should trigger heightened scrutiny of the state law at issue, in keeping with the Court’s long-standing equal protection jurisprudence. The American Historical Association and 26 historians of marriage, family, and law filed a brief in support of the constitutionality of same-sex marriage. According to the amici, the historical record demonstrates that procreation and child-rearing have never been the exclusive or even predominant purpose of marriage. The brief also surveys historical American marriage laws to show that marriage is not a static concept, but rather one that has evolved over time “to reflect societal changes and judicial recognition of legal rights.” Eleven scholars of history and related disciplines filed a brief challenging the right to same-sex marriage. The brief argues that the “traditional” definition of marriage (i.e., a relationship between a man and a woman) is dominant in the country’s history, tradition, and practice, reflecting the institution’s purported purpose of supporting procreation and child-rearing. For these reasons, the amici maintain, restrictions on same-sex marriage are rational and constitutional.",Obergefell v. Hodges (2015),Brief of the Organization of American Historians as Amicus Curiae in Support of Petitioners | Brief of Historians of Marriage and the American Historical Association as Amici Curiae in Support of Petitioners | Brief of Amici Curiae Scholars of History and Related Disciplines in Support of Respondents,"LGBTQ+, Marriage, Sexual Orientation/Gender Identity Discrimination, 14th Amendment, Equal Protection, Due Process"
LGBTQ+ Rights,"The Supreme Court received multiple filings from historians in Bostock v. Clayton County, Georgia and related cases that ruled firing someone for being gay or transgender a violation of Title VII of the Civil Rights Act of 1964, which prohibits discrimination against individuals “because of” their sex. Nine historians with expertise in the history of gender, sexuality, and law in the United States filed a brief supporting an interpretation of Title VII that protects people against discrimination because they are lesbian, gay, bisexual, or transgender. The brief describes how historical evidence from the first decade after Title VII’s enactment illustrates that the public understanding of the word sex and of the phrase “discrimination because of . . . sex” encompassed discrimination against LGBTQ+ individuals. The statute, the amici further explain, sought to support people who “depart from conventional norms of masculinity and femininity.” Thirty-eight scholars of LGBTQ+ rights and history filed a brief supporting a reading of Title VII that protects transgender people from discrimination. The brief argues that the plain text of Title VII should be sufficient to conclude that discrimination because a person is transgender is legally barred. The amici further explain that the legislative record does not indicate congressional intent to exclude transgender individuals from Title VII’s protections.","Bostock v. Clayton County, Georgia (2020); Altitude Express, Inc. v. Zarda (2020); R. G. & G. R. Harris Funeral Homes, Inc. v. Equal Employment Opportunity Commission (2018)",Brief of Historians as Amici Curiae in Support of Employees | Brief of Law and History Professors as Amici Curiae in Support of Respondent Aimee Stephens,"LGBTQ+, Sexual Orientation/Gender Identity Discrimination, Civil Rights Law"
LGBTQ+ Rights,"Seven historians of child welfare filed a brief in Fulton v. City of Philadelphia, which held that the City of Philadelphia’s policy of requiring foster care agencies to certify that they would not discriminate against same-sex couples violated the agencies’ rights under the Free Exercise Clause. The brief, filed in support of the policy, explains that governments have regulated child welfare since the country’s founding. Among other things, the amici describe how the government grew substantially more involved in funding and regulating foster care over the past century — developing standards and systems of licensure to both ensure the adequate protection of minor children and guard against discrimination by private entities in the foster care system.",Fulton v. City of Philadelphia (2021),Brief of Historians of Child Welfare as Amici Curiae in Support of Respondents,"LGBTQ+, Sexual Orientation/Gender Identity Discrimination, First Amendment, Free Exercise Clause"
